epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,22619.8,0.28962,0.64249,0.90853,0.87554,0.77586,0.90621,0.81509,0.49426,0.96392,1.02243,0.000307,0.000307,0.000307
107,22800.9,0.271,0.63128,0.887,0.84325,0.78013,0.87074,0.78985,0.45515,0.99769,0.94833,0.0003004,0.0003004,0.0003004
108,22984,0.27819,0.63248,0.90619,0.78138,0.8,0.84714,0.77926,0.47931,1.07918,0.96707,0.0002938,0.0002938,0.0002938
109,23177.3,0.2748,0.61509,0.89575,0.84229,0.76225,0.88799,0.81699,0.47228,0.95135,0.96118,0.0002872,0.0002872,0.0002872
110,23360.7,0.26311,0.58166,0.90117,0.89537,0.87562,0.91924,0.84003,0.47282,0.83862,0.96747,0.0002806,0.0002806,0.0002806
111,23558.9,0.26576,0.6034,0.90755,0.83433,0.88889,0.89828,0.81446,0.49367,0.85569,0.99621,0.000274,0.000274,0.000274
112,23769.3,0.26049,0.56966,0.89737,0.78422,0.86808,0.88995,0.81337,0.47461,0.89617,0.98597,0.0002674,0.0002674,0.0002674
113,23953.8,0.26587,0.5843,0.90732,0.76718,0.88384,0.92255,0.85792,0.44974,0.82531,0.95348,0.0002608,0.0002608,0.0002608
114,24138.9,0.26401,0.58587,0.89984,0.82672,0.80344,0.93464,0.84367,0.47111,0.91895,0.97283,0.0002542,0.0002542,0.0002542
115,24332.6,0.26602,0.58795,0.90204,0.78279,0.9111,0.94675,0.87978,0.47296,0.79672,0.97874,0.0002476,0.0002476,0.0002476
116,24529.1,0.27328,0.58446,0.90666,0.84485,0.83905,0.89896,0.82699,0.4947,0.92773,1.03039,0.000241,0.000241,0.000241
117,24718.3,0.26805,0.55283,0.90796,0.81103,0.78037,0.84793,0.79496,0.47926,1.02471,1.01412,0.0002344,0.0002344,0.0002344
118,24915.5,0.26209,0.55338,0.90189,0.8045,0.80703,0.8408,0.78055,0.47659,1.02029,0.99673,0.0002278,0.0002278,0.0002278
119,25103.2,0.26106,0.55346,0.90429,0.8453,0.75757,0.8907,0.81205,0.49582,0.91466,1.00937,0.0002212,0.0002212,0.0002212
120,25296.8,0.26597,0.59376,0.90122,0.91765,0.70563,0.91107,0.8055,0.48705,0.85527,0.98975,0.0002146,0.0002146,0.0002146
121,25490.5,0.2504,0.52819,0.88833,0.77507,0.81098,0.87659,0.77773,0.51353,0.9512,1.02514,0.000208,0.000208,0.000208
122,25678.8,0.25413,0.5289,0.88926,0.84337,0.76918,0.89887,0.80203,0.51381,0.96997,1.03295,0.0002014,0.0002014,0.0002014
123,25869.1,0.27349,0.5766,0.90691,0.75554,0.80366,0.87725,0.79697,0.48743,0.96677,0.99369,0.0001948,0.0001948,0.0001948
124,26061.1,0.24555,0.53863,0.87698,0.71507,0.82743,0.8629,0.78871,0.47608,1.0231,0.9777,0.0001882,0.0001882,0.0001882
125,26250.2,0.25256,0.54878,0.89058,0.82035,0.77574,0.87685,0.80343,0.47288,0.95697,0.96407,0.0001816,0.0001816,0.0001816
126,26439.5,0.25566,0.5346,0.896,0.74224,0.86614,0.8856,0.80746,0.47277,0.88459,0.96056,0.000175,0.000175,0.000175
127,26623.5,0.25172,0.53491,0.88833,0.79047,0.81636,0.88819,0.82278,0.48295,0.88652,0.96553,0.0001684,0.0001684,0.0001684
128,26823.3,0.26133,0.51323,0.89565,0.77525,0.79391,0.88331,0.82788,0.49363,0.95538,0.98996,0.0001618,0.0001618,0.0001618
129,27009.3,0.24502,0.48391,0.89281,0.68811,0.88792,0.88521,0.81341,0.50608,0.94443,1.02706,0.0001552,0.0001552,0.0001552
130,27212,0.24444,0.51253,0.87608,0.85278,0.8329,0.91097,0.82955,0.4996,0.88523,1.01951,0.0001486,0.0001486,0.0001486
131,27406.7,0.2599,0.5425,0.89612,0.80256,0.82896,0.8919,0.82395,0.48221,0.86171,0.99628,0.000142,0.000142,0.000142
132,27604.5,0.26082,0.53336,0.90013,0.81787,0.80801,0.87131,0.8052,0.47175,0.89911,0.96862,0.0001354,0.0001354,0.0001354
133,27788,0.24828,0.51031,0.88823,0.77856,0.88248,0.89151,0.82412,0.47093,0.83561,0.95302,0.0001288,0.0001288,0.0001288
